track_name,track_id,album_name,album_id,album_release_date,popularity,artist_names,artist_ids
Dreaming with a Broken Heart,7keXdrB4mz57u4b8YkCwag,Continuum,1Xsprdt1q9rOzTic7b9zYM,2006-09-11,57,John Mayer,0hEurMDQu99nJRq8pTxO14
Got To Be,4p2HhC8KX8pGLyNDQ0Ednd,Bando Stone and The New World,4yUqNSK6jMi7Y6eWl03U5r,2024-07-19,50,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL
Talk My Shit (feat. Amaarae & Flo Milli),09imUl1oyaB2R86qBgEhCN,Bando Stone and The New World,4yUqNSK6jMi7Y6eWl03U5r,2024-07-19,55,"Childish Gambino, Amaarae, Flo Milli","73sIBHcqh3Z3NyqHKZ7FOL, 21UPYSRWFKwtqvSAnFnSvS, 08PvCOlef4xdOr20jFSTPd"
Steps Beach,4lovbNtAeIxtXWy9bwEsQk,Bando Stone and The New World,4yUqNSK6jMi7Y6eWl03U5r,2024-07-19,58,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL
Survive (feat. Chlöe),2UIraNrjFYMnu1HI15QR4S,Bando Stone and The New World,4yUqNSK6jMi7Y6eWl03U5r,2024-07-19,53,"Childish Gambino, Chlöe","73sIBHcqh3Z3NyqHKZ7FOL, 1FtBEIWAwvw5ymBen5GICR"
Lithonia,3uC4r2daXertBxxc8BpbbN,Bando Stone and The New World,4yUqNSK6jMi7Y6eWl03U5r,2024-07-19,65,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL
H3@RT$ W3RE M3@NT T0 F7¥,7yr9auCsJO1qOQi43kED7N,Bando Stone and The New World,4yUqNSK6jMi7Y6eWl03U5r,2024-07-19,50,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL
Two®,65kp3OFn7JXbCvkm3m2Ui2,Luv Is Rage 2,733e1ZfktLSwj96X5rsMeE,2017-08-25,60,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
Erase Your Social,4uhvMW7ly7tJil31YYscAN,The Perfect LUV Tape,6LX75kNicFqjjiAOeZgN67,2016-08-10,72,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
New Patek,0Fpen1PTuEnCmOJtUU9Iud,New Patek,64eE6FnNj7UJ9LEkN4EbvS,2018-09-18,64,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
Silly Watch,5egD7A5x9AHdVO2fMo3Wbo,Eternal Atake,7IyoGB8J31fvQDwGtHAq9m,2020-03-06,72,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
20 Min,0uxSUdBrJy9Un0EYoBowng,Luv Is Rage 2 (Deluxe),0zicd2mBV8HTzSubByj4vP,2017-11-17,84,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
Dark Queen,2ZdCrBA52bb4pIG3tOOZiQ,Luv Is Rage 2,733e1ZfktLSwj96X5rsMeE,2017-08-25,62,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
Nosetalgia,7aK5rlTVxSgcqShPMI1TTH,My Name Is My Name,42oQv8fbI5CbeuAasf2ILC,2013-10-31,63,"Pusha T, Kendrick Lamar","0ONHkAv9pCAFxb0zJwDNTy, 2YZyLoL8N0Wb9xBt1NhZWg"
Cali,4HXhLCT8v0eklaKMU1YvK6,Cali,69OVw7DZsdsUoKS9YNAaWb,2022-07-06,41,Supreme Sidhu,1ZepPUbPtyDgmq1ktCLqcN
Levels,60YICjIPdL7LDBcCMK0tAk,Levels,3UhoziCnYqcgxFpzYSx233,2022-05-25,64,"Sidhu Moose Wala, Sunny Malton, The Kidd","4PULA4EFzYTrxYvOVlwpiQ, 2ScEhgArBEdKyU4vNHSyiY, 1yLUeehqCm7X7QLRuUfZ1A"
Lover,0XwRlvv3KlOu4HWlOH34XG,MoonChild Era,0zV96rKdfWliVHNBpAsd2b,2021-08-22,70,Diljit Dosanjh,2FKWNmZWDBZR4dE5KX4plR
Notorious,0n34awvLFvIayNC43L9JYw,Notorious,6BDt4jKBfvMtxaomt3z8WU,2021-04-30,58,Wazir Patar,3bCfmBmsKvp4UXialp6xNZ
Payal,76ZWOhRRQzmb4xMoZzTjJ9,Glory,5KF4xCxDD8ip003hoatFT9,2024-08-26,77,"Yo Yo Honey Singh, Paradox","7uIbLdzzSEqnX0Pkrb56cR, 3fWcIRZlzhMl2YNACMvHui"
"Mathi Mathi (From ""Laiye Je Yaarian"" Soundtrack)",65YGwhZ5JiitokUFQkONdZ,"Mathi Mathi (From ""Laiye Je Yaarian"" Soundtrack)",24LappUi8aZCmyMEehTgNX,2019-06-01,48,"Amrinder Gill, Dr Zeus","1x02ug1CLkx7mrQP9FRswh, 1zrFFDzoE9XXyjEqqgDpMm"
Ram Ram,64jX14ntYSUd1lbzVgBMr6,Mtv Hustle 2.0,2WbTyQKy64ReQPkxN4pR8R,2023-03-30,59,MC SQUARE,5WZViOJ21095FUcGPMpKFF
Sulfa,5KhGcGHKxU3PZB94pWyNtG,Sulfa,7lZ1pZDXACAGPgcJBFIfb2,2020-05-22,59,"Sapna Choudhary, Vikas Hammi","5WYVZzKOZMUn4pNY9gy2BM, 4vdyl9gDa9zzIzx4idMXPT"
Jat Drip,40NK2jX5LKFINVXZc8EWP2,Jat Drip,0WcL9oDVW96gcSJqmWdCpm,2024-11-21,45,Khasa Aala Chahar,3yOHCFUZRsaHUu1yefR8ck
Loot Liya,4GyqewtwPMeeyZAR9Saw2o,Loot Liya,2AjCPhw1GVATIoeggAgAxM,2021-03-15,60,"Khasa Aala Chahar, Ghanu Music","3yOHCFUZRsaHUu1yefR8ck, 21dcNsxyYDyCaF33KDYL3T"
Bhartar,1gnSWq0TDPN3DHkXDekuPp,Bhartar,5biAJ9BV2DGyUAS0vcPJuB,2024-12-17,70,Sumit Parta,3b3PfZsOrb3cPzSCZjawbr
Gunday,0DcPQ5WkVEvaQLwYdZvkls,Gunday,054sscFduIzgjEQWOYQJYq,2020-11-15,56,Devender Ahlawat,0qzAeY2wBeUBxDUbBex1Hg
Yaar Haryane Te,7M5rtXfBW7FZ9gEWkw2uDR,Yaar Haryane Te,2T5gjowpYgITFECRvQcFOE,2021-01-21,61,"Khasa Aala Chahar, KD DESIROCK","3yOHCFUZRsaHUu1yefR8ck, 4Pq2LW79qotJK4YAMFwlO0"
